Created with UCDetector 2.0.0	2022-10-14 17:06:56	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
simulator.CirSim.stopElm(CirSim.java:170)	Field "CirSim.stopElm" is never read	CirSim.stopElm	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.didSwitch(CirSim.java:171)	Field "CirSim.didSwitch" has 0 references	CirSim.didSwitch	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.mousePost(CirSim.java:172)	Field "CirSim.mousePost" has 0 references	CirSim.mousePost	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.draggingPost(CirSim.java:176)	Change visibility of Field "CirSim.draggingPost" to private	CirSim.draggingPost	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.heldSwitchElm(CirSim.java:177)	Change visibility of Field "CirSim.heldSwitchElm" to private	CirSim.heldSwitchElm	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.heldSwitchElm(CirSim.java:177)	Field "CirSim.heldSwitchElm" is never read	CirSim.heldSwitchElm	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.circuitMatrix(CirSim.java:178)	Change visibility of Field "CirSim.circuitMatrix" to private	CirSim.circuitMatrix	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.circuitRightSide(CirSim.java:178)	Change visibility of Field "CirSim.circuitRightSide" to private	CirSim.circuitRightSide	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.origRightSide(CirSim.java:178)	Change visibility of Field "CirSim.origRightSide" to private	CirSim.origRightSide	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.origMatrix(CirSim.java:178)	Change visibility of Field "CirSim.origMatrix" to private	CirSim.origMatrix	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.circuitRowInfo(CirSim.java:179)	Change visibility of Field "CirSim.circuitRowInfo" to private	CirSim.circuitRowInfo	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.circuitPermute(CirSim.java:180)	Change visibility of Field "CirSim.circuitPermute" to private	CirSim.circuitPermute	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.circuitNonLinear(CirSim.java:181)	Change visibility of Field "CirSim.circuitNonLinear" to private	CirSim.circuitNonLinear	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.voltageSourceCount(CirSim.java:182)	Change visibility of Field "CirSim.voltageSourceCount" to private	CirSim.voltageSourceCount	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.voltageSourceCount(CirSim.java:182)	Field "CirSim.voltageSourceCount" is never read	CirSim.voltageSourceCount	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.circuitMatrixSize(CirSim.java:183)	Change visibility of Field "CirSim.circuitMatrixSize" to private	CirSim.circuitMatrixSize	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.circuitMatrixFullSize(CirSim.java:183)	Change visibility of Field "CirSim.circuitMatrixFullSize" to private	CirSim.circuitMatrixFullSize	org.ucdetector.analyzeMarkerVisibilityPrivate	
